Packed,Staged,Section,Item,Notes
NA,NA,1. Camp Box,"Silicone tubing, 6'",
,,1. Camp Box,Blue paper towels,Restock
,,1. Camp Box,Bottle opener,
,,1. Camp Box,Camp mugs,
,,1. Camp Box,Camp plates,
,,1. Camp Box,Clothesline (paracord),
,,1. Camp Box,Cooking chopsticks,
,,1. Camp Box,Dish rack,
,,1. Camp Box,Dish sponge,
,,1. Camp Box,Dish tub,
,,1. Camp Box,Dutch oven,
,,1. Camp Box,Fire poker,
,,1. Camp Box,First-aid kit,
,,1. Camp Box,Foil,
,,1. Camp Box,Hammer,
,,1. Camp Box,Lighter,
,,1. Camp Box,Liquid soap,
,,1. Camp Box,Mixing/serving bowls,
,,1. Camp Box,Mosquito coils,
,,1. Camp Box,Nails,"For hanging rubbish, etc."
,,1. Camp Box,Pitcher/utensil holder,
,,1. Camp Box,Roasting fork,
,,1. Camp Box,Serving platter,
,,1. Camp Box,Silverware,
,,1. Camp Box,Spatula,
,,1. Camp Box,Tablecloth / clips,
,,1. Camp Box,Tea kettle,
,,1. Camp Box,Toilet paper,
,,1. Camp Box,"Tongs, large",
,,1. Camp Box,Trash bags,Restock
,,1. Camp Box,Turner,
,,1. Camp Box,Water filter/tablets,
,,1. Camp Box,Water pump,Recharge batteries
,,1. Camp Box,Ziploc bags (sandwich / 1gal),Restock
NA,NA,2. Pack Box,Fishing tackle,
,,2. Pack Box,"AAA/AA Batteries, x6/x4",Restock
,,2. Pack Box,Axe,
,,2. Pack Box,Baby wipes,
,,2. Pack Box,Bath towels,
,,2. Pack Box,Binoculars,
,,2. Pack Box,Bluetooth speaker,Recharge batteries
,,2. Pack Box,Bug spray,
,,2. Pack Box,Coozie,
,,2. Pack Box,Dustpan/Vacuum,
,,2. Pack Box,Folding saw,
,,2. Pack Box,Games/toys,
,,2. Pack Box,Hand sanitizer,
,,2. Pack Box,Kindle,
,,2. Pack Box,Lauhala mat,
,,2. Pack Box,LED clock,
,,2. Pack Box,Mosquito repellant,Recharge batteries
,,2. Pack Box,Multi-tool,
,,2. Pack Box,Painter's tape,
,,2. Pack Box,Propane bottle,
,,2. Pack Box,Propane hose,
,,2. Pack Box,Rubbing alcohol,
,,2. Pack Box,Small LED lantern,
,,2. Pack Box,Spring clamps,
,,2. Pack Box,Sunglasses,
,,2. Pack Box,Sunscreen,
,,2. Pack Box,Tupperware,
,,2. Pack Box,Welding gloves,
,,2. Pack Box,Headlamps,
NA,NA,3. Campsite,Fishing pole,
NA,NA,3. Campsite,Kindling (cedar),
,,3. Campsite,Good-to-Go pass,
,,3. Campsite,Slippers,
,,3. Campsite,Tire inflator,
,,3. Campsite,Backpacking tent,
,,3. Campsite,Bike + helmet,
,,3. Campsite,Blanket,
,,3. Campsite,Broom,
,,3. Campsite,Buckets,
,,3. Campsite,Camp chairs,
,,3. Campsite,Camp stove + griddle,
,,3. Campsite,Day pack,
,,3. Campsite,Firewood/firepit,
,,3. Campsite,Handwash station,
,,3. Campsite,Hiking shoes,
,,3. Campsite,Marshmallow sticks,
,,3. Campsite,Power station,Recharge batteries
,,3. Campsite,Propane lantern,
,,3. Campsite,Propane tank,
,,3. Campsite,Rake,
,,3. Campsite,Sleeping bags,
,,3. Campsite,Sleeping pads,
,,3. Campsite,Tarps,In tent bag
,,3. Campsite,Tent,
,,3. Campsite,Terrarium + net,
,,3. Campsite,Water can,
,,3. Campsite,Pillows,
,,3. Campsite,Sleep mask,
,,3. Campsite,Toiletry kit,
,,3. Campsite,Water bottles,
,,4. Food Box,Can opener,
,,4. Food Box,ladle,
,,4. Food Box,cooking oil,
,,4. Food Box,salt/pepper,
,,4. Food Box,hot sauce/ketchup,
,,4. Food Box,Cutting board,
,,4. Food Box,Dish towels,
,,4. Food Box,Kitchen knife,
,,4. Food Box,Paper towels,
,,4. Food Box,Steel pint glasses & mugs,
,,4. Food Box,Tea strainer,
,,4. Food Box,tomatoes,dinner
,,4. Food Box,crunchy snacks,lunch
,,4. Food Box,avocado,dinner
,,4. Food Box,dill spears,lunch
,,4. Food Box,sweet onion,dinner
,,4. Food Box,pasta,dinner
,,4. Food Box,pasta sauce,dinner
,,4. Food Box,milk chocolate,smores
,,4. Food Box,bourbon,drinks
,,4. Food Box,coffee,drinks
,,4. Food Box,green tea,drinks
,,4. Food Box,hot chocolate,drinks
,,4. Food Box,salsa,lunch
,,5. Cooler,Block ice,
,,5. Cooler,Cube ice,
,,5. Cooler,eggs,breakfast
,,5. Cooler,hummus,lunch
,,5. Cooler,mac nuts,lunch
,,5. Cooler,green goddess,lunch
,,5. Cooler,salami,lunch
,,5. Cooler,broccoli,dinner
,,5. Cooler,kimchi,dinner
,,5. Cooler,ground beef,dinner
,,5. Cooler,lettuce,dinner
,,5. Cooler,sauerkraut,dinner
,,5. Cooler,beer,drinks
,,5. Cooler,milk,drinks
,,5. Cooler,mayo,dinner
,,5. Cooler,bell peppers,lunch
,,5. Cooler,lime,lunch
