Place,City,State,Food,Audience,Status
Jade Dynasty Seafood Restaurant,Ala Moana,HI,dim sum,ohana,try
Mariposa,Ala Moana,HI,sunset date night,day date,try
Chun Wah Kam,Chinatown,HI,ginger chicken fried rice,counter service,try
Fête,Chinatown,HI,"cocktail bar, new local",day date,fav
Royal Kitchen,Chinatown,HI,manapua,counter service,fav
Taipan,Chinatown,HI,dim sum,ohana,try
Irifune,Downtown,HI,garlic ahi,counter service,try
Murphy's Bar & Grill,Downtown,HI,irish pub,beer,fav
Kona Brewing,Hawaii Kai,HI,"brew pub, big portions",ohana,fav
Kapa Hale,Kahala,HI,"modern hawaiian, lanai",day date,try
Brew'd Craft Pub,Kaimuki,HI,gastropub,day date,fav
EARL Sandwich,Kaimuki,HI,sandwiches,counter service,fav
Koko Head Cafe,Kaimuki,HI,brunch,ohana,fav
Little Vessels,Kaimuki,HI,vegan donut,counter service,try
Yakitori Ando,Kaimuki,HI,omakase,day date,try
Honolulu BeerWorks,Kakaako,HI,brewery,day date,fav
Howzit Brewing,Kakaako,HI,brewery,ohana,fav
Island Sausage,Kakaako,HI,"sausage, fries",counter service,try
Village Bottleshop,Kakaako,HI,beer bar,ohana,fav
Waikiki Brewing Co,Kakaako,HI,brewery,ohana,fav
Yanagi Sushi,Kakaako,HI,sushi,day date,try
Best Drive-In,Kalihi,HI,korean plate lunch,counter service,fav
Ethel's Grill,Kalihi,HI,local diner,ohana,try
Helena's Hawaiian Food,Kalihi,HI,"lau lau, pipikaula",counter service,fav
Monarch Seafood,Kalihi,HI,seafood plate lunch,counter service,fav
Nami Kaze,Kalihi,HI,elevated local,ohana,fav
Sugoi,Kalihi,HI,plate lunch,counter service,fav
U Kitchen,Kalihi,HI,bento plate lunch,counter service,try
Utage,Kalihi,HI,okinawan,ohana,fav
Adela's Country Eatery,Kaneohe,HI,noodle plates,counter service,try
Inu Island Ales,Kaneohe,HI,brewery,day date,fav
Tasty Korean BBQ 3,Kaneohe,HI,meat jun,counter service,try
Diamond Head Market & Grill,Kapahulu,HI,deli,counter service,fav
Leonard's Bakery,Kapahulu,HI,malasadas,counter service,fav
Pioneer Saloon,Kapahulu,HI,japanese plate lunch,counter service,fav
Side Street Inn,Kapahulu,HI,bar food,day date,try
Waiola Shave Ice,Kapahulu,HI,shave ice,counter service,fav
Mad Bene,Kapolei,HI,"pizza, lanai",ohana,try
Bella Banh Mi Café,Liliha,HI,banh mi,counter service,try
L&L,Liliha,HI,mochiko chicken,counter service,fav
Liliha Bakery,Liliha,HI,"coco puffs, mochi donut",counter service,fav
Kyung's Seafood,Makiki,HI,korean bar food,day date,try
Off The Hook,Manoa,HI,poke,counter service,fav
Bozu,McCully,HI,"sushi, izakaya",day date,try
Fujiya,McCully,HI,mochi,counter service,try
Osoyami Bar & Grill,McCully,HI,dive bar,day date,try
Paradise Ciders,Mililani,HI,cider,day date,try
‘Ili‘ili Cash & Carry,Mo'ili'ili,HI,"pizza, sammies, italian deli",counter service,try
Beer Lab HI,Mo'ili'ili,HI,brewery,day date,fav
Guava Smoked,multiple,HI,smoked meat plate lunch,counter service,try
Island Vintage Coffee,multiple,HI,"shave ice, acai bowls",counter service,try
Tamura's Fine Wine & Liquors,multiple,HI,"bottleshop, poke",counter service,fav
Zippy's,multiple,HI,chili,counter service,fav
Ted's Bakery,North Shore,HI,pie,counter service,fav
Paradise Poke,Nuuanu,HI,poke,counter service,try
Mountain Magic Shave Ice,Waikele,HI,shave ice,counter service,try
Chart House,Waikiki,HI,bloody mary,day date,try
Penny's Malasadas,Waikiki,HI,malasadas,counter service,try
Sage Creamery,Waikiki,HI,ice cream (D Head Market),counter service,fav
Hau Tree,Waikīkī,HI,"brunch, lanai",ohana,try
Hana Koa Brewing,Ward,HI,brew pub,ohana,fav
Kamemameha Bakery,Kalihi,HI,poi donuts,counter service,try
Shimazu Store,Liliha,HI,shave ice,counter service,fav
Merriman's,Ward,HI,happy hour,ohana,try
Frankie's Nursery,Waimanalo,HI,fresh fruit,ohana,try
Kahiau Poke,Chinatown,HI,poke,counter service,try
