Packed,Staged,Section,Item,Notes,Delegate
,na,3. Camp Box,Games/toys/RC/chargers,,Y
,na,4. Campsite,Bike + helmet,,
na,na,4. Campsite,Kindling (cedar),,
na,na,4. Campsite,Propane heater,,
,x,1. Chuck Kit,Bottle opener,,
,x,1. Chuck Kit,Camp mugs,,
,x,1. Chuck Kit,Camp plates,,
,x,1. Chuck Kit,Cooking chopsticks,,
,x,1. Chuck Kit,Cutting board,,
,x,1. Chuck Kit,Dish sponge,,
,x,1. Chuck Kit,Dish towels,,
,x,1. Chuck Kit,Ladle,,
,x,1. Chuck Kit,Lighter,,
,x,1. Chuck Kit,Liquid soap,,
,x,1. Chuck Kit,Mixing/serving bowls,,
,x,1. Chuck Kit,pepper,,
,x,1. Chuck Kit,Pitcher/utensil holder,,
,x,1. Chuck Kit,Roasting fork,,
,x,1. Chuck Kit,Salt,,
,x,1. Chuck Kit,Serving platter,,
,x,1. Chuck Kit,Silverware,,
,x,1. Chuck Kit,Spatula,,
,x,1. Chuck Kit,Tea strainer,From kitchen,
,x,1. Chuck Kit,"Tongs, large",,
,x,1. Chuck Kit,Trash bags,Restock,
,x,1. Chuck Kit,Turner,From kitchen,
,x,1. Chuck Kit,Utility knife,From kitchen,
,x,1. Chuck Kit,Water filter,,
,x,1. Chuck Kit,Water pump,Recharge batteries,
,x,1. Chuck Kit,Ziploc bags (sandwich / 1gal),Restock,
,x,2. Kitchen Box,"AAA/AA Batteries, x6/x4",Restock,
,x,2. Kitchen Box,Axe,From shed,
,x,2. Kitchen Box,Blue paper towels,Restock,
,x,2. Kitchen Box,Clothesline (paracord),,
,x,2. Kitchen Box,Coozie,From kitchen,
,x,2. Kitchen Box,Dish rack,,
,x,2. Kitchen Box,"Dish tub, x2",,
,x,2. Kitchen Box,Dutch oven,,
,x,2. Kitchen Box,Fire poker,,
,x,2. Kitchen Box,First-aid kit,,
,x,2. Kitchen Box,Foil,,
,x,2. Kitchen Box,Folding saw,From shed,
,x,2. Kitchen Box,Hammer,,
,x,2. Kitchen Box,Nails,"For hanging rubbish, etc.",
,x,2. Kitchen Box,Painter's tape,From kitchen,
,x,2. Kitchen Box,Paper towels,,
,x,2. Kitchen Box,Rubbing alcohol,,
,x,2. Kitchen Box,Rubbish/recycling bins,,
,x,2. Kitchen Box,Spring clamps,,
