Song,Artist
Zombie,The Cranberries
Love Shack,The B-52's
Lovefool,The Cardigans
Whatta Man,Salt-N-Pepa
Say it Ain't So,Weezer
Bohemian Rhapsody,Queen
Soul to Squeeze,Red Hot Chili Peppers
Loser,Beck
When I Come Around,Green Day
Supernova,Liz Phair
Stranger Than Fiction,Bad Religion
Possum Kingdom,Toadies
Peaches,The Presidents of the United States of America
Don't Speak,No Doubt
Monkey Wrench,Foo Fighters
All The Kids Are Right,Local H
Joy to the World,Three Dog Night
Another One Bites the Dust,Queen
TNT,ACDC
Livin' on a Prayer,Bon Jovi
Ghostbusters,"Ray Parker, Jr"
Lovely Day,Bill Withers
The Fresh Prince of Bel Air,DJ Jazzy Jeff & The Fresh Prince
Born This Way,Orville Peck
Bare Necessities,Jungle Book
Wonderwall,Oasis
Barbie Girl,Aqua
Poison,Bell Biv Devoe
Creep,Radiohead
Rainbow Connection,Kermit the Frog
"Take Me Home, Country Roads",Israel Kamakawiwo'ole
What a Wonderful World,Louis Armstrong
You're Welcome,Dwayne Johnson
More Than Words,Extreme
I'll Make a Man Out of You,Mulan
Hurt,Johnny Cash
Hey Jude,The Beatles
Blinding Lights,The Weeknd
You Know I'm No Good,Amy Winehouse
Jukebox Hero,Foreigner
Badfish,Sublime
"Red, Red Wine",UB40
Electric Avenue,Eddie Grant
The Banana Boat Song,Harry Belafonte
Seether,Veruca Salt
Fade Into You,Mazzy Star
Friends of P,The Rentals
I Got a Girl,Tripping Daisy
I'm Yours,Jason Mraz
Grow Old With You,Adam Sandler
Like a Stone,Audioslave
Teenage Dirtbag,Wheatus
Tribute,Tenacious D
Sucked Out,Superdrag
Molokai Slide,Ehukai
Opihi Man,Ka'au Crater Boys
