Packed,Staged,Section,Item,Notes
NA,NA,1. Camp Box,"Silicone tubing, 6'",
x,x,1. Camp Box,Blue paper towels,Restock
x,x,1. Camp Box,Bottle opener,
x,x,1. Camp Box,Camp mugs,
x,x,1. Camp Box,Camp plates,
x,x,1. Camp Box,Clothesline (paracord),
x,x,1. Camp Box,Cooking chopsticks,
x,x,1. Camp Box,Dish rack,
x,x,1. Camp Box,Dish sponge,
x,x,1. Camp Box,Dish tub,
x,x,1. Camp Box,Dutch oven,
x,x,1. Camp Box,Fire poker,
x,x,1. Camp Box,First-aid kit,
x,x,1. Camp Box,Foil,
x,x,1. Camp Box,Hammer,
x,x,1. Camp Box,Lighter,
x,x,1. Camp Box,Liquid soap,
x,x,1. Camp Box,Mixing/serving bowls,
x,x,1. Camp Box,Mosquito coils,
x,x,1. Camp Box,Nails,"For hanging rubbish, etc."
x,x,1. Camp Box,Pitcher/utensil holder,
x,x,1. Camp Box,Roasting fork,
x,x,1. Camp Box,Serving platter,
x,x,1. Camp Box,Silverware,
x,x,1. Camp Box,Spatula,
x,x,1. Camp Box,Tablecloth / clips,
x,x,1. Camp Box,Tea kettle,
x,x,1. Camp Box,Toilet paper,
x,x,1. Camp Box,"Tongs, large",
x,x,1. Camp Box,Trash bags,Restock
x,x,1. Camp Box,Turner,
x,x,1. Camp Box,Water filter/tablets,
x,x,1. Camp Box,Water pump,Recharge batteries
x,x,1. Camp Box,Ziploc bags (sandwich / 1gal),Restock
NA,NA,2. Pack Box,Fishing tackle,
x,x,2. Pack Box,"AAA/AA Batteries, x6/x4",Restock
x,x,2. Pack Box,Axe,
x,x,2. Pack Box,Baby wipes,
x,x,2. Pack Box,Bath towels,
x,x,2. Pack Box,Binoculars,
x,x,2. Pack Box,Bluetooth speaker,Recharge batteries
x,x,2. Pack Box,Bug spray,
x,x,2. Pack Box,Coozie,
x,x,2. Pack Box,Dustpan/Vacuum,
x,x,2. Pack Box,Folding saw,
x,x,2. Pack Box,Games/toys,
x,x,2. Pack Box,Hand sanitizer,
x,x,2. Pack Box,Kindle,
x,x,2. Pack Box,Lauhala mat,
x,x,2. Pack Box,LED clock,
x,x,2. Pack Box,Mosquito repellant,Recharge batteries
x,x,2. Pack Box,Multi-tool,
x,x,2. Pack Box,Painter's tape,
x,x,2. Pack Box,Propane bottle,
x,x,2. Pack Box,Propane hose,
x,x,2. Pack Box,Rubbing alcohol,
x,x,2. Pack Box,Small LED lantern,
x,x,2. Pack Box,Spring clamps,
x,x,2. Pack Box,Sunglasses,
x,x,2. Pack Box,Sunscreen,
x,x,2. Pack Box,Tupperware,
x,x,2. Pack Box,Welding gloves,
x,x,2. Pack Box,Headlamps,
NA,NA,3. Campsite,Fishing pole,
NA,NA,3. Campsite,Kindling (cedar),
x,x,3. Campsite,Good-to-Go pass,
x,x,3. Campsite,Slippers,
x,x,3. Campsite,Tire inflator,
x,x,3. Campsite,Backpacking tent,
,x,3. Campsite,Bike + helmet,
x,x,3. Campsite,Blanket,
x,x,3. Campsite,Broom,
x,x,3. Campsite,Buckets,
x,x,3. Campsite,Camp chairs,
x,x,3. Campsite,Camp stove,
x,x,3. Campsite,Day pack,
x,x,3. Campsite,Firewood/firepit,
x,x,3. Campsite,Griddle,
x,x,3. Campsite,Handwash station,
x,x,3. Campsite,Hiking shoes,
x,x,3. Campsite,Marshmallow sticks,
x,x,3. Campsite,Power station,Recharge batteries
x,x,3. Campsite,Propane lantern,
x,x,3. Campsite,Propane tank,
x,x,3. Campsite,Rake,
x,x,3. Campsite,Sleeping bags,
x,x,3. Campsite,Sleeping pads,
x,x,3. Campsite,Tarps,In tent bag
x,x,3. Campsite,Tent,
x,x,3. Campsite,Water can,
x,x,3. Campsite,Pillows,
x,x,3. Campsite,Sleep mask,
x,x,3. Campsite,Toiletry kit,
,x,3. Campsite,Water bottles,
x,x,4. Food Box,Can opener,
x,x,4. Food Box,ladle,
x,x,4. Food Box,cooking oil,
x,x,4. Food Box,salt/pepper,
x,x,4. Food Box,hot sauce/ketchup,
x,x,4. Food Box,Cutting board,
x,x,4. Food Box,Dish towels,
x,x,4. Food Box,Kitchen knife,
x,x,4. Food Box,Paper towels,
x,x,4. Food Box,Steel pint glasses & mugs,
x,x,4. Food Box,Tea strainer,
x,x,4. Food Box,tomatoes,dinner
x,x,4. Food Box,crunchy snacks,lunch
x,x,4. Food Box,avocado,dinner
x,x,4. Food Box,dill spears,lunch
x,x,4. Food Box,sweet onion,dinner
x,x,4. Food Box,pasta,dinner
x,x,4. Food Box,pasta sauce,dinner
x,x,4. Food Box,milk chocolate,smores
x,x,4. Food Box,bourbon,drinks
x,x,4. Food Box,coffee,drinks
x,x,4. Food Box,green tea,drinks
x,x,4. Food Box,hot chocolate,drinks
x,x,4. Food Box,salsa,lunch
x,x,5. Cooler,Block ice,
x,x,5. Cooler,Cube ice,
x,x,5. Cooler,eggs,breakfast
x,x,5. Cooler,hummus,lunch
x,x,5. Cooler,mac nuts,lunch
x,x,5. Cooler,green goddess,lunch
x,x,5. Cooler,salami,lunch
x,x,5. Cooler,broccoli,dinner
x,x,5. Cooler,kimchi,dinner
x,x,5. Cooler,ground beef,dinner
x,x,5. Cooler,lettuce,dinner
x,x,5. Cooler,sauerkraut,dinner
x,x,5. Cooler,beer,drinks
x,x,5. Cooler,milk,drinks
x,x,5. Cooler,mayo,dinner
x,x,5. Cooler,bell peppers,lunch
x,x,5. Cooler,lime,lunch
